"Experiment_ID","Timestamp","X_ft","Y_ft","Z_ft","Predicted_Temperature_F","Predicted_Relative_Humidity_pct","Predicted_Dew_Point_F","Predicted_Dew_Point_Depression_F","Grid_Resolution_X_ft","Grid_Resolution_Y_ft","Grid_Resolution_Z_ft","IDW_Power"
"Wifi_Test_July_22nd",2026-07-22 19:00:00,0,0,0,55.6938897611093,85.5265227927439,51.3420712413125,4.3518185197968,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,2,0,0,55.7052256013258,85.5190362438391,51.3545322314176,4.35069336990812,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,4,0,0,55.722442906972,85.4966815867294,51.3680642354554,4.35437867151655,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,6,0,0,55.7443134372464,85.4613292450215,51.3818391767866,4.36247426045987,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,8,0,0,55.767302350425,85.4200767706922,51.3943108569986,4.37299149342632,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,10,0,0,55.7854532339841,85.3857076148597,51.4032759537881,4.38217728019594,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,12,0,0,55.7924431715843,85.3721585427764,51.4065747362239,4.38586843536031,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,14,0,0,55.7854532339841,85.3857076148597,51.4032759537881,4.38217728019594,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,16,0,0,55.767302350425,85.4200767706922,51.3943108569986,4.37299149342632,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,18,0,0,55.7443134372464,85.4613292450215,51.3818391767866,4.36247426045987,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,20,0,0,55.722442906972,85.4966815867294,51.3680642354554,4.35437867151655,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,22,0,0,55.7052256013258,85.5190362438391,51.3545322314176,4.35069336990812,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,24,0,0,55.6938897611093,85.5265227927439,51.3420712413125,4.3518185197968,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,0,2,0,55.6500769937494,85.6133217617621,51.3258602521297,4.32421674161972,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,2,2,0,55.6591598526841,85.6134968244037,51.3389397619485,4.32022009073561,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,4,2,0,55.6761128499734,85.5947083382154,51.3538522977048,4.32226055226858,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,6,2,0,55.7003263516622,85.5571146333941,51.3698125485401,4.33051380312208,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,8,2,0,55.7280111358413,85.5079127292489,51.3849817787891,4.34302935705214,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,10,2,0,55.751235226397,85.4638697602295,51.3963392896268,4.35489593677018,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,12,2,0,55.7604802835694,85.4458486088575,51.4006196371664,4.35986064640303,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,14,2,0,55.751235226397,85.4638697602295,51.3963392896268,4.35489593677018,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,16,2,0,55.7280111358413,85.5079127292489,51.3849817787891,4.34302935705214,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,18,2,0,55.7003263516622,85.5571146333941,51.3698125485401,4.33051380312208,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,20,2,0,55.6761128499734,85.5947083382154,51.3538522977048,4.32226055226858,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,22,2,0,55.6591598526841,85.6134968244037,51.3389397619485,4.32022009073561,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,24,2,0,55.6500769937494,85.6133217617621,51.3258602521297,4.32421674161972,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,0,4,0,55.5955575733793,85.7171417521146,51.3036726191625,4.29188495421677,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,2,4,0,55.5989362980119,85.7328278641441,51.3163687731001,4.28256752491174,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,4,4,0,55.6115219163973,85.7273423054491,51.3316199147154,4.27990200168195,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,6,4,0,55.6336042619448,85.6985080332555,51.3487692941877,4.28483496775702,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,8,4,0,55.6618429176384,85.6518397145808,51.3658208724091,4.2960220452293,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,10,4,0,55.6872718887073,85.6055583272671,51.3790676745307,4.30820421417653,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,12,4,0,55.6977761045353,85.5856894178254,51.3841694557149,4.31360664882039,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,14,4,0,55.6872718887073,85.6055583272671,51.3790676745307,4.30820421417653,2,2,2,2
"Wifi_Test_July_22nd",2026-07-22 19:00:00,16,4,0,55.6618429176384,85.6518397145808,51.3658208724091,4.2960220452293,2,2,2,2
